date,vo2MaxPrecise,vo2MaxInteger
2022-09-19,46.6,47.0
2022-09-21,44.9,45.0
2022-09-24,45.1,45.0
2022-09-25,44.6,45.0
2022-09-27,44.3,44.0
2022-09-29,43.6,44.0
2022-10-01,42.9,43.0
2022-10-07,42.6,43.0
2022-10-13,42.5,43.0
2022-10-15,42.4,42.0
2022-10-16,41.9,42.0
2022-10-18,41.1,41.0
2022-10-20,41.6,42.0
2022-10-23,41.0,41.0
2022-10-26,41.1,41.0
2022-10-28,41.3,41.0
2022-10-30,41.3,41.0
2022-10-31,41.2,41.0
2022-11-02,41.4,41.0
2022-11-05,41.7,42.0
2022-11-06,41.4,41.0
2022-11-09,41.4,41.0
2022-11-11,40.9,41.0
2022-11-12,41.7,42.0
2022-11-16,41.2,41.0
2022-11-19,41.5,42.0
2022-11-23,41.5,41.0
2022-11-25,42.3,42.0
2022-11-30,43.3,43.0
2022-12-03,43.3,43.0
2022-12-04,42.4,42.0
2022-12-09,41.9,42.0
2022-12-23,42.8,43.0
2022-12-25,42.9,43.0
2022-12-28,43.2,43.0
2022-12-30,43.7,44.0
2023-01-03,43.8,44.0
2023-01-05,44.1,44.0
2023-01-07,44.1,44.0
2023-01-10,43.7,44.0
2023-01-13,44.2,44.0
2023-01-14,43.6,44.0
2023-01-17,43.9,44.0
2023-01-19,44.4,44.0
2023-01-21,44.6,45.0
2023-01-22,44.5,44.0
2023-01-25,44.3,44.0
2023-01-29,44.0,44.0
2023-01-31,43.8,44.0
2023-02-01,44.2,44.0
2023-02-03,44.5,44.0
2023-02-04,44.3,44.0
2023-02-05,44.6,45.0
2023-02-07,44.9,45.0
2023-02-11,43.6,44.0
2023-02-14,44.4,44.0
2023-02-16,44.1,44.0
2023-02-18,44.5,45.0
2023-02-20,44.9,45.0
2023-02-22,45.0,45.0
2023-02-24,44.1,44.0
2023-02-26,43.9,44.0
2023-02-28,43.8,44.0
2023-03-02,44.7,45.0
2023-03-05,44.5,44.0
2023-03-07,44.6,45.0
2023-03-14,45.4,45.0
2023-03-19,45.4,45.0
2023-03-28,45.7,46.0
2023-04-08,45.7,46.0
2023-05-10,45.8,46.0
2023-05-11,45.5,46.0
2023-05-12,45.4,45.0
2023-05-13,45.4,45.0
2023-05-14,45.0,45.0
2023-05-15,45.0,45.0
2023-05-16,44.9,45.0
2023-05-17,44.8,45.0
2023-05-18,44.6,45.0
2023-05-19,44.7,45.0
2023-05-20,44.7,45.0
2023-05-21,44.4,44.0
2023-05-22,44.5,44.0
2023-05-23,44.6,45.0
2023-05-24,44.3,44.0
2023-05-25,44.3,44.0
2023-05-26,44.1,44.0
2023-05-27,44.1,44.0
2023-05-29,44.2,44.0
2023-05-31,44.2,44.0
2023-06-01,44.0,44.0
2023-06-02,44.0,44.0
2023-06-03,44.0,44.0
2023-06-04,44.5,44.0
2023-06-06,44.3,44.0
2023-06-07,44.3,44.0
2023-06-08,44.2,44.0
2023-06-09,44.7,45.0
2023-06-12,44.3,44.0
2023-06-13,44.2,44.0
2023-06-14,44.2,44.0
2023-06-15,44.5,44.0
2023-06-16,44.6,45.0
2023-06-17,44.7,45.0
2023-06-18,44.1,44.0
2023-06-20,44.0,44.0
2023-07-17,44.0,44.0
